,0,1,2,3
0,gene_id,gene_name,gene_type,unstranded
1,ENSG00000000003.15,TSPAN6,protein_coding,3434
2,ENSG00000000005.6,TNMD,protein_coding,0
3,ENSG00000000419.13,DPM1,protein_coding,2676
4,ENSG00000000457.14,SCYL3,protein_coding,1269
5,ENSG00000000460.17,C1orf112,protein_coding,765
6,ENSG00000000938.13,FGR,protein_coding,801
7,ENSG00000000971.16,CFH,protein_coding,5969
8,ENSG00000001036.14,FUCA2,protein_coding,4556
9,ENSG00000001084.13,GCLC,protein_coding,28767
10,ENSG00000001167.14,NFYA,protein_coding,4690
11,ENSG00000001460.18,STPG1,protein_coding,1346
12,ENSG00000001461.17,NIPAL3,protein_coding,6691
13,ENSG00000001497.18,LAS1L,protein_coding,3447
14,ENSG00000001561.7,ENPP4,protein_coding,1429
15,ENSG00000001617.12,SEMA3F,protein_coding,3442
16,ENSG00000001626.16,CFTR,protein_coding,419
17,ENSG00000001629.10,ANKIB1,protein_coding,3941
18,ENSG00000001630.17,CYP51A1,protein_coding,199
19,ENSG00000001631.16,KRIT1,protein_coding,324
20,ENSG00000002016.18,RAD52,protein_coding,526
21,ENSG00000002079.14,MYH16,transcribed_unitary_pseudogene,1646
22,ENSG00000002330.14,BAD,protein_coding,237
23,ENSG00000002549.12,LAP3,protein_coding,10395
24,ENSG00000002586.20,CD99,protein_coding,24011
25,ENSG00000002586.20_PAR_Y,CD99,protein_coding,0
26,ENSG00000002587.10,HS3ST1,protein_coding,1147
27,ENSG00000002726.21,AOC1,protein_coding,7834
28,ENSG00000002745.13,WNT16,protein_coding,1
29,ENSG00000002746.15,HECW1,protein_coding,53
30,ENSG00000002822.15,MAD1L1,protein_coding,18
31,ENSG00000002834.18,LASP1,protein_coding,43590
32,ENSG00000002919.15,SNX11,protein_coding,2210
33,ENSG00000002933.9,TMEM176A,protein_coding,6632
34,ENSG00000003056.8,M6PR,protein_coding,6517
35,ENSG00000003096.14,KLHL13,protein_coding,107
36,ENSG00000003137.8,CYP26B1,protein_coding,192
37,ENSG00000003147.19,ICA1,protein_coding,2948
38,ENSG00000003249.15,DBNDD1,protein_coding,2062
39,ENSG00000003393.15,ALS2,protein_coding,4244
40,ENSG00000003400.15,CASP10,protein_coding,2674
41,ENSG00000003402.20,CFLAR,protein_coding,9377
42,ENSG00000003436.16,TFPI,protein_coding,14263
43,ENSG00000003509.16,NDUFAF7,protein_coding,599
44,ENSG00000003756.17,RBM5,protein_coding,3777
45,ENSG00000003987.14,MTMR7,protein_coding,55
46,ENSG00000003989.18,SLC7A2,protein_coding,12225
47,ENSG00000004059.11,ARF5,protein_coding,3872
48,ENSG00000004139.14,SARM1,protein_coding,171
